09.04.2026                                                                                                 Salida dinámica de lista                                                                                                                                                       1


	Objeto	Tipo objeto	Denomin.	Clase	Status	ESPECIE	Clase	Tipo de madera	Familia	Calidad	Terminación	Estado Humedad	Grado	Espesor Comercial	Ancho comercial	Largo Comercial	Espesor Nominal	Ancho Nominal	Largo Nominal	Espesor	  Ancho	    Largo

	1204168	Mat	PPCMC1CRGVESD 0x0x0	PM_ASERRADERO2	1	P	P	C	MC	1C	RG	VE	SD
	1204169	Mat	PPCMC2CRGVESD 0x0x0	PM_ASERRADERO2	1	P	P	C	MC	2C	RG	VE	SD
	1205844	Mat	PPLMUPRRGVESD 23x95xRL	PM_ASERRADERO2	1	P	P	L	MU	PR	RG	VE	SD	23	95		         23,000	       95,000		 23,000	 95,000
	1205845	Mat	PPLMUPRRGVESD 23x104xRL	PM_ASERRADERO2	1	P	P	L	MU	PR	RG	VE	SD	23	104		         23,000	      104,000		 23,000	104,000
	1205846	Mat	PPLMUPRRGVESD 23x129xRL	PM_ASERRADERO2	1	P	P	L	MU	PR	RG	VE	SD	23	129		         23,000	      129,000		 23,000	129,000
	1205847	Mat	PPLMUPRRGVESD 23x150xRL	PM_ASERRADERO2	1	P	P	L	MU	PR	RG	VE	SD	23	150		         23,000	      150,000		 23,000	150,000
	1205848	Mat	PPLMUPRRGVESD 23x194xRL	PM_ASERRADERO2	1	P	P	L	MU	PR	RG	VE	SD	23	194		         23,000	      194,000		 23,000	194,000
	1205849	Mat	PPLMUPRRGVESD 23x202xRL	PM_ASERRADERO2	1	P	P	L	MU	PR	RG	VE	SD	23	202		         23,000	      202,000		 23,000	202,000
	1205850	Mat	PPLMUPRRGVESD 26x77xRL	PM_ASERRADERO2	1	P	P	L	MU	PR	RG	VE	SD	26	77		         26,000	       77,000		 26,000	 77,000
	1205851	Mat	PPLMUPRRGVESD 26x95xRL	PM_ASERRADERO2	1	P	P	L	MU	PR	RG	VE	SD	26	95		         26,000	       95,000		 26,000	 95,000
	1205852	Mat	PPLMUPRRGVESD 26x104xRL	PM_ASERRADERO2	1	P	P	L	MU	PR	RG	VE	SD	26	104		         26,000	      104,000		 26,000	104,000
	1205853	Mat	PPLMUPRRGVESD 26x129xRL	PM_ASERRADERO2	1	P	P	L	MU	PR	RG	VE	SD	26	129		         26,000	      129,000		 26,000	129,000
	1205854	Mat	PPLMUPRRGVESD 26x150xRL	PM_ASERRADERO2	1	P	P	L	MU	PR	RG	VE	SD	26	150		         26,000	      150,000		 26,000	150,000
	1205856	Mat	PPLMUPRRGVESD 26x194xRL	PM_ASERRADERO2	1	P	P	L	MU	PR	RG	VE	SD	26	194		         26,000	      194,000		 26,000	194,000
	1205857	Mat	PPLMUPRRGVESD 26x202xRL	PM_ASERRADERO2	1	P	P	L	MU	PR	RG	VE	SD	26	202		         26,000	      202,000		 26,000	202,000
	1205858	Mat	PPLMUPRRGSESD 23x95xRL	PM_ASERRADERO2	1	P	P	L	MU	PR	RG	SE	SD	23	95		         23,000	       95,000		 23,000	 95,000
	1205859	Mat	PPLMUPRRGSESD 23x104xRL	PM_ASERRADERO2	1	P	P	L	MU	PR	RG	SE	SD	23	104		         23,000	      104,000		 23,000	104,000
	1205860	Mat	PPLMUPRRGSESD 23x129xRL	PM_ASERRADERO2	1	P	P	L	MU	PR	RG	SE	SD	23	129		         23,000	      129,000		 23,000	129,000
	1205861	Mat	PPLMUPRRGSESD 23x150xRL	PM_ASERRADERO2	1	P	P	L	MU	PR	RG	SE	SD	23	150		         23,000	      150,000		 23,000	150,000
	1205862	Mat	PPLMUPRRGSESD 23x194xRL	PM_ASERRADERO2	1	P	P	L	MU	PR	RG	SE	SD	23	194		         23,000	      194,000		 23,000	194,000
	1205863	Mat	PPLMUPRRGSESD 23x202xRL	PM_ASERRADERO2	1	P	P	L	MU	PR	RG	SE	SD	23	202		         23,000	      202,000		 23,000	202,000
	1205864	Mat	PPLMUPRRGSESD 26x77xRL	PM_ASERRADERO2	1	P	P	L	MU	PR	RG	SE	SD	26	77		         26,000	       77,000		 26,000	 77,000
	1205865	Mat	PPLMUPRRGSESD 26x95xRL	PM_ASERRADERO2	1	P	P	L	MU	PR	RG	SE	SD	26	95		         26,000	       95,000		 26,000	 95,000
	1205866	Mat	PPLMUPRRGSESD 26x104xRL	PM_ASERRADERO2	1	P	P	L	MU	PR	RG	SE	SD	26	104		         26,000	      104,000		 26,000	104,000
	1205867	Mat	PPLMUPRRGSESD 26x129xRL	PM_ASERRADERO2	1	P	P	L	MU	PR	RG	SE	SD	26	129		         26,000	      129,000		 26,000	129,000
	1205868	Mat	PPLMUPRRGSESD 26x150xRL	PM_ASERRADERO2	1	P	P	L	MU	PR	RG	SE	SD	26	150		         26,000	      150,000		 26,000	150,000
	1205869	Mat	PPLMUPRRGSESD 26x194xRL	PM_ASERRADERO2	1	P	P	L	MU	PR	RG	SE	SD	26	194		         26,000	      194,000		 26,000	194,000
	1205870	Mat	PPLMUPRRGSESD 26x202xRL	PM_ASERRADERO2	1	P	P	L	MU	PR	RG	SE	SD	26	202		         26,000	      202,000		 26,000	202,000
	1205871	Mat	PPCMASPRGVESD 52x236xRL	PM_ASERRADERO2	1	P	P	C	MA	SP	RG	VE	SD	52	236		         52,000	      236,000		 52,000	236,000
	1205872	Mat	PPCMASPRGSESD 52x236xRL	PM_ASERRADERO2	1	P	P	C	MA	SP	RG	SE	SD	52	236		         52,000	      236,000		 52,000	236,000
	1205873	Mat	PPCMASPRGVESD 17x150xRL	PM_ASERRADERO2	1	P	P	C	MA	SP	RG	VE	SD	17	150		         17,000	      150,000		 17,000	150,000
	1205874	Mat	PPCMASPRGVESD 26x236xRL	PM_ASERRADERO2	1	P	P	C	MA	SP	RG	VE	SD	26	236		         26,000	      236,000		 26,000	236,000
	1205876	Mat	PPCMASPRGSESD 17x150xRL	PM_ASERRADERO2	1	P	P	C	MA	SP	RG	SE	SD	17	150		         17,000	      150,000		 17,000	150,000
	1205877	Mat	PPCMASPRGSESD 26x236xRL	PM_ASERRADERO2	1	P	P	C	MA	SP	RG	SE	SD	26	236		         26,000	      236,000		 26,000	236,000
	1205882	Mat	PPCMAPRRGVESD 50x95xRL	PM_ASERRADERO2	1	P	P	C	MA	PR	RG	VE	SD	50	95		         50,000	       95,000		 50,000	 95,000
