23.03.2025                                                                                                Salida dinámica de lista                                                                                                                                                     1


	Objeto	Tipo objeto	Denomin.	Clase	Status	ESPECIE	Clase	Tipo de madera	Familia	Calidad	Terminación	Estado Humedad	Grado	Espesor Comercial	Ancho comercial	Largo Comercial	Espesor Nominal	Ancho Nominal	Largo Nominal	Espesor	    Ancho	    Largo

	1200080	Mat	PPLRPPCRGVESD 28x80xRL	PM_ASERRADERO	1	P	P	L	RP	PC	RG	VE	SD	28	80	RL	         28,000	       80,000		 28,000	   80,000
	1200081	Mat	PPLRPPCRGSESD 28x80xRL	PM_ASERRADERO	1	P	P	L	RP	PC	RG	SE	SD	28	80	RL	         28,000	       80,000		 28,000	   80,000
	1200082	Mat	PPC4KDTRGIVG1 28x80xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	28	80	RL	         28,000	       80,000		 28,000	   80,000
	1200083	Mat	PPC4KDTRGIVG1 28x110xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	28	110	RL	         28,000	      110,000		 28,000	  110,000
	1200084	Mat	PPC4KDTRGIVG1 28x138xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	28	138	RL	         28,000	      138,000		 28,000	  138,000
	1200085	Mat	PPC4KDTRGIVG1 28x162xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	28	162	RL	         28,000	      162,000		 28,000	  162,000
	1200086	Mat	PPC4KDTRGIVG1 28x212xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	28	212	RL	         28,000	      212,000		 28,000	  212,000
	1200087	Mat	PPC4KDTRGIVG1 28x260xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	28	260	RL	         28,000	      260,000		 28,000	  260,000
	1200088	Mat	PPC4KDTRGIVG1 25x110xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	25	110	RL	         25,000	      110,000		 25,000	  110,000
	1200089	Mat	PPC4KDTRGIVG1 25x138xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	25	138	RL	         25,000	      138,000		 25,000	  138,000
	1200090	Mat	PPC4KDTRGIVG1 25x162xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	25	162	RL	         25,000	      162,000		 25,000	  162,000
	1200091	Mat	PPC4KDTRGIVG1 25x212xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	25	212	RL	         25,000	      212,000		 25,000	  212,000
	1200092	Mat	PPC4KDTRGIVG1 25x260xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	25	260	RL	         25,000	      260,000		 25,000	  260,000
	1200093	Mat	PPC4KDTRGIVG1 19x110xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	19	110	RL	         19,000	      110,000		 19,000	  110,000
	1200094	Mat	PPC4KDTRGIVG1 19x138xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	19	138	RL	         19,000	      138,000		 19,000	  138,000
	1200095	Mat	PPC4KDTRGIVG1 19x162xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	19	162	RL	         19,000	      162,000		 19,000	  162,000
	1200096	Mat	PPC4KDTRGIVG1 19x212xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	19	212	RL	         19,000	      212,000		 19,000	  212,000
	1200097	Mat	PPC4KDTRGIVG1 19x262xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	19	262	RL	         19,000	      262,000		 19,000	  262,000
	1200098	Mat	PPC4KDTRGIVG1 40x110xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	40	110	RL	         40,000	      110,000		 40,000	  110,000
	1200099	Mat	PPC4KDTRGIVG1 40x138xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	40	138	RL	         40,000	      138,000		 40,000	  138,000
	1200100	Mat	PPC4KDTRGIVG1 40x162xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	40	162	RL	         40,000	      162,000		 40,000	  162,000
	1200101	Mat	PPC4KDTRGIVG1 40x212xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	40	212	RL	         40,000	      212,000		 40,000	  212,000
	1200102	Mat	PPC4KDTRGIVG1 40x260xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	40	260	RL	         40,000	      260,000		 40,000	  260,000
	1200103	Mat	PPC4KDTRGIVG1 40x322xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	40	322	RL	         40,000	      322,000		 40,000	  322,000
	1200104	Mat	PPC4KDTRGIVG1 46x138xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	46	138	RL	         46,000	      138,000		 46,000	  138,000
	1200105	Mat	PPC4KDTRGIVG1 46x110xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	46	110	RL	         46,000	      110,000		 46,000	  110,000
	1200106	Mat	PPC4KDTRGIVG1 46x162xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	46	162	RL	         46,000	      162,000		 46,000	  162,000
	1200107	Mat	PPC4KDTRGIVG1 46x212xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	46	212	RL	         46,000	      212,000		 46,000	  212,000
	1200108	Mat	PPC4KDTRGIVG1 46x260xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	46	260	RL	         46,000	      260,000		 46,000	  260,000
	1200109	Mat	PPC4KDTRGIVG1 46x322xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	46	322	RL	         46,000	      322,000		 46,000	  322,000
	1200110	Mat	PPC4KDTRGIVG1 53x110xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	53	110	RL	         53,000	      110,000		 53,000	  110,000
	1200111	Mat	PPC4KDTRGIVG1 53x138xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	53	138	RL	         53,000	      138,000		 53,000	  138,000
	1200112	Mat	PPC4KDTRGIVG1 53x162xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	53	162	RL	         53,000	      162,000		 53,000	  162,000
	1200113	Mat	PPC4KDTRGIVG1 53x212xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	53	212	RL	         53,000	      212,000		 53,000	  212,000
	1200114	Mat	PPC4KDTRGIVG1 53x260xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	53	260	RL	         53,000	      260,000		 53,000	  260,000
	1200115	Mat	PPC4KDTRGIVG1 53x322xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	53	322	RL	         53,000	      322,000		 53,000	  322,000
	1200116	Mat	PPC4KDTRGIVG1 79x110xRL	PM_ASERRADERO	1	P	P	C	4K	DT	RG	IV	G1	79	110	RL	         79,000	      110,000		 79,000	  110,000
