Objeto;Denomin.;Tipo de madera;Familia;Terminación;Grado;Espesor;Ancho;Largo;CodAgrup;EspesorPPCalc;AnchoPPCalc;LargoPPCalc;RendVolCalc;CodigoPP;PrecodPP;Calidad;kerf;Denomin..1;RendGrado;Status;FamiliaPostiza;Escuadria
1522108;PTCMASTRGSEG1 48x120x3660 126;C;MA;RGH;G1;48.0;120.0;3660.0;1522108;50;124.0;3660.0;0.9290322580645162;MA501243660;MA50124;Standard;;PTCMASTRGSEG1 48x120x3660 126;0.9;True;MA;MA 50x124
1522109;PTCMASTRGSEG1 48x120x3050 126;C;MA;RGH;G1;48.0;120.0;3050.0;1522109;50;124.0;3050.0;0.9290322580645162;MA501243050;MA50124;Standard;;PTCMASTRGSEG1 48x120x3050 126;0.9;True;MA;MA 50x124
1522110;PTCMASTRGSEG1 48x120x2440 126;C;MA;RGH;G1;48.0;120.0;2440.0;1522110;50;124.0;4880.0;0.9290322580645162;MA5012448808+8;MA50124;Standard;;PTCMASTRGSEG1 48x120x2440 126;0.9;True;MA;MA 50x124
1522111;PTCMAAERGSEEX 48x120x3660 126;C;MA;RGH;EX;48.0;120.0;3660.0;1522111;50;124.0;3660.0;0.9290322580645162;MA501243660;MA50124;Excedente;;PTCMAAERGSEEX 48x120x3660 126;;True;MA;MA 50x124
1522112;PTCMAAERGSEEX 48x120x3050 126;C;MA;RGH;EX;48.0;120.0;3050.0;1522112;50;124.0;3050.0;0.9290322580645162;MA501243050;MA50124;Excedente;;PTCMAAERGSEEX 48x120x3050 126;;True;MA;MA 50x124
1522113;PTCMAAERGSEEX 48x120x2440 126;C;MA;RGH;EX;48.0;120.0;2440.0;1522113;50;124.0;4880.0;0.9290322580645162;MA5012448808+8;MA50124;Excedente;;PTCMAAERGSEEX 48x120x2440 126;;True;MA;MA 50x124
1522115;PTCMASTRGSEG1 3/5x5x16 344;C;MA;RGH;G1;15.0;135.0;4880.0;1522115;16;140.0;4880.0;0.9040178571428571;MA161404880;MA16140;Standard;;PTCMASTRGSEG1 3/5x5x16 344;0.9;True;MA;MA 16x140
1522120;PTCMASTRGSEG1 19x74x3050 490;C;MA;RGH;G1;19.0;74.0;3050.0;1522120;20;77.0;3050.0;0.912987012987013;MA20773050;MA2077;Standard;;PTCMASTRGSEG1 19x74x3050 490;;True;MA;MA 20x77
1522121;PTCMASTRGSEG1 19x74x2440 490;C;MA;RGH;G1;19.0;74.0;2440.0;1522121;20;77.0;4880.0;0.912987012987013;MA207748808+8;MA2077;Standard;;PTCMASTRGSEG1 19x74x2440 490;;True;MA;MA 20x77
1522127;PTCMASTRGSEG1 100x100x4270 60;C;MA;RGH;G1;100.0;100.0;4270.0;1522127;104;104.0;4270.0;0.9245562130177515;MA1041044270;MA104104;Standard;;PTCMASTRGSEG1 100x100x4270 60;0.9;True;MA;MA 104x104
1522128;PTCMASTRGSEG1 100x100x3660 60;C;MA;RGH;G1;100.0;100.0;3660.0;1522128;104;104.0;3660.0;0.9245562130177515;MA1041043660;MA104104;Standard;;PTCMASTRGSEG1 100x100x3660 60;0.9;True;MA;MA 104x104
1522129;PTCMASTRGSEG1 100x100x3050 60;C;MA;RGH;G1;100.0;100.0;3050.0;1522129;104;104.0;3050.0;0.9245562130177515;MA1041043050;MA104104;Standard;;PTCMASTRGSEG1 100x100x3050 60;0.9;True;MA;MA 104x104
1522130;PTCMASTRGSEG1 100x100x2440 60;C;MA;RGH;G1;100.0;100.0;2440.0;1522130;104;104.0;4880.0;0.9245562130177515;MA10410448808+8;MA104104;Standard;;PTCMASTRGSEG1 100x100x2440 60;0.98;True;MA;MA 104x104
1522131;PTCMAAERGSEEX 100x100x4270 60;C;MA;RGH;EX;100.0;100.0;4270.0;1522131;104;104.0;4270.0;0.9245562130177515;MA1041044270;MA104104;Excedente;;PTCMAAERGSEEX 100x100x4270 60;;True;MA;MA 104x104
1522132;PTCMAAERGSEEX 100x100x3660 60;C;MA;RGH;EX;100.0;100.0;3660.0;1522132;104;104.0;3660.0;0.9245562130177515;MA1041043660;MA104104;Excedente;;PTCMAAERGSEEX 100x100x3660 60;;True;MA;MA 104x104
1522133;PTCMAAERGSEEX 100x100x3050 60;C;MA;RGH;EX;100.0;100.0;3050.0;1522133;104;104.0;3050.0;0.9245562130177515;MA1041043050;MA104104;Excedente;;PTCMAAERGSEEX 100x100x3050 60;;True;MA;MA 104x104
1522134;PTCMAAERGSEEX 100x100x2440 60;C;MA;RGH;EX;100.0;100.0;2440.0;1522134;104;104.0;4880.0;0.9245562130177515;MA10410448808+8;MA104104;Excedente;;PTCMAAERGSEEX 100x100x2440 60;;True;MA;MA 104x104
1522178;PTCMASTR4SEG1 19x89x1830 432;C;MA;R4;G1;19.0;89.0;1830.0;1522178;23;96.0;3660.0;0.7658514492753623;MA239636606+6;MA2396;Standard;;PTCMASTR4SEG1 19x89x1830 432;0.85;True;MA;MA 23x96
1522179;PTCMASTR4SEG1 38x89x1830 216;C;MA;R4;G1;38.0;89.0;1830.0;1522179;43;96.0;3660.0;0.8192829457364341;MA439636606+6;MA4396;Standard;;PTCMASTR4SEG1 38x89x1830 216;;True;MA;MA 43x96
1522190;PTCMASTS4SEG1 1x4x8 240;C;MA;S4;G1;19.0;89.0;2440.0;1522190;23;96.0;4880.0;0.7658514492753623;MA239648808+8;MA2396;Standard;;PTCMASTS4SEG1 1x4x8 240;0.85;True;MA;MA 23x96
1522191;PTCMASTRGSEG1 74x100x2440 90;C;MA;RGH;G1;74.0;100.0;2440.0;1522191;77;104.0;4880.0;0.9240759240759241;MA7710448808+8;MA77104;Standard;;PTCMASTRGSEG1 74x100x2440 90;;True;MA;MA 77x104
1522192;PTCMASTRGSEG1 74x100x3050 90;C;MA;RGH;G1;74.0;100.0;3050.0;1522192;77;104.0;3050.0;0.9240759240759241;MA771043050;MA77104;Standard;;PTCMASTRGSEG1 74x100x3050 90;;True;MA;MA 77x104
1522193;PTCMASTRGSEG1 74x100x3660 90;C;MA;RGH;G1;74.0;100.0;3660.0;1522193;77;104.0;3660.0;0.9240759240759241;MA771043660;MA77104;Standard;;PTCMASTRGSEG1 74x100x3660 90;;True;MA;MA 77x104
1522194;PTCMASTRGSEG1 74x74x2440 126;C;MA;RGH;G1;74.0;74.0;2440.0;1522194;77;77.0;4880.0;0.9235958846348457;MA777748808+8;MA7777;Standard;;PTCMASTRGSEG1 74x74x2440 126;;True;MA;MA 77x77
1522195;PTCMASTRGSEG1 74x74x3050 126;C;MA;RGH;G1;74.0;74.0;3050.0;1522195;77;77.0;3050.0;0.9235958846348457;MA77773050;MA7777;Standard;;PTCMASTRGSEG1 74x74x3050 126;;True;MA;MA 77x77
1522196;PTCMASTRGSEG1 74x74x3660 126;C;MA;RGH;G1;74.0;74.0;3660.0;1522196;77;77.0;3660.0;0.9235958846348457;MA77773660;MA7777;Standard;;PTCMASTRGSEG1 74x74x3660 126;;True;MA;MA 77x77
1522200;PTCMAAERGSEEX 74x100x3660 90;C;MA;RGH;EX;74.0;100.0;3660.0;1522200;77;104.0;3660.0;0.9240759240759241;MA771043660;MA77104;Excedente;;PTCMAAERGSEEX 74x100x3660 90;;True;MA;MA 77x104
1522201;PTCMAAERGSEEX 74x100x3050 90;C;MA;RGH;EX;74.0;100.0;3050.0;1522201;77;104.0;3050.0;0.9240759240759241;MA771043050;MA77104;Excedente;;PTCMAAERGSEEX 74x100x3050 90;;True;MA;MA 77x104
1522202;PTCMAAERGSEEX 74x100x2440 90;C;MA;RGH;EX;74.0;100.0;2440.0;1522202;77;104.0;4880.0;0.9240759240759241;MA7710448808+8;MA77104;Excedente;;PTCMAAERGSEEX 74x100x2440 90;;True;MA;MA 77x104
1522210;PTCMAAERGSEEX 74x74x2440 126;C;MA;RGH;EX;74.0;74.0;2440.0;1522210;77;77.0;4880.0;0.9235958846348457;MA777748808+8;MA7777;Excedente;;PTCMAAERGSEEX 74x74x2440 126;;True;MA;MA 77x77
1522211;PTCMAAERGSEEX 74x74x3050 126;C;MA;RGH;EX;74.0;74.0;3050.0;1522211;77;77.0;3050.0;0.9235958846348457;MA77773050;MA7777;Excedente;;PTCMAAERGSEEX 74x74x3050 126;;True;MA;MA 77x77
1522212;PTCMAAERGSEEX 74x74x3660 126;C;MA;RGH;EX;74.0;74.0;3660.0;1522212;77;77.0;3660.0;0.9235958846348457;MA77773660;MA7777;Excedente;;PTCMAAERGSEEX 74x74x3660 126;;True;MA;MA 77x77
1522221;PTCMASTRGSEG1 76x76x4880 117;C;MA;RGH;G1;76.0;76.0;4880.0;1522221;79;79.0;4880.0;0.9254927095016824;MA79794880;MA7979;Standard;;PTCMASTRGSEG1 76x76x4880 117;0.9;True;MA;MA 79x79
1522223;PTCMASTRGSEG1 36x145x4880 133;C;MA;RGH;G1;36.0;145.0;4880.0;1522223;37;150.0;4880.0;0.9405405405405406;MA371504880;MA37150;Standard;;PTCMASTRGSEG1 36x145x4880 133;0.86;True;MA;MA 37x150
1522225;PTCMASTRGSEG1 17x175x3660 234;C;MA;RGH;G1;17.0;175.0;3660.0;1522225;18;181.0;3660.0;0.9131368937998773;MA181813660;MA18181;Standard;;PTCMASTRGSEG1 17x175x3660 234;0.9;True;MA;MA 18x181
1522226;PTCMASTRGSEG1 76x76x4270 117;C;MA;RGH;G1;76.0;76.0;4270.0;1522226;79;79.0;4270.0;0.9254927095016824;MA79794270;MA7979;Standard;;PTCMASTRGSEG1 76x76x4270 117;0.9;True;MA;MA 79x79
1522227;PTCMASTRGSEG1 76x76x3660 117;C;MA;RGH;G1;76.0;76.0;3660.0;1522227;79;79.0;3660.0;0.9254927095016824;MA79793660;MA7979;Standard;;PTCMASTRGSEG1 76x76x3660 117;0.9;True;MA;MA 79x79
1522228;PTCMASTRGSEG1 76x76x3050 117;C;MA;RGH;G1;76.0;76.0;3050.0;1522228;79;79.0;3050.0;0.9254927095016824;MA79793050;MA7979;Standard;;PTCMASTRGSEG1 76x76x3050 117;0.9;True;MA;MA 79x79
1522229;PTCMASTRGSEG1 76x76x2440 117;C;MA;RGH;G1;76.0;76.0;2440.0;1522229;79;79.0;4880.0;0.9254927095016824;MA797948808+8;MA7979;Standard;;PTCMASTRGSEG1 76x76x2440 117;0.9;True;MA;MA 79x79
1522230;PTCMAAERGSEEX 76x76x4880 117;C;MA;RGH;EX;76.0;76.0;4880.0;1522230;79;79.0;4880.0;0.9254927095016824;MA79794880;MA7979;Excedente;;PTCMAAERGSEEX 76x76x4880 117;;True;MA;MA 79x79
1522231;PTCMAAERGSEEX 76x76x4270 117;C;MA;RGH;EX;76.0;76.0;4270.0;1522231;79;79.0;4270.0;0.9254927095016824;MA79794270;MA7979;Excedente;;PTCMAAERGSEEX 76x76x4270 117;;True;MA;MA 79x79
1522232;PTCMAAERGSEEX 76x76x3660 117;C;MA;RGH;EX;76.0;76.0;3660.0;1522232;79;79.0;3660.0;0.9254927095016824;MA79793660;MA7979;Excedente;;PTCMAAERGSEEX 76x76x3660 117;;True;MA;MA 79x79
1522233;PTCMAAERGSEEX 76x76x3050 117;C;MA;RGH;EX;76.0;76.0;3050.0;1522233;79;79.0;3050.0;0.9254927095016824;MA79793050;MA7979;Excedente;;PTCMAAERGSEEX 76x76x3050 117;;True;MA;MA 79x79
1522234;PTCMAAERGSEEX 76x76x2440 117;C;MA;RGH;EX;76.0;76.0;2440.0;1522234;79;79.0;4880.0;0.9254927095016824;MA797948808+8;MA7979;Excedente;;PTCMAAERGSEEX 76x76x2440 117;;True;MA;MA 79x79
1522235;PTCMASTRGSEG1 36x145x4270 133;C;MA;RGH;G1;36.0;145.0;4270.0;1522235;37;150.0;4270.0;0.9405405405405406;MA371504270;MA37150;Standard;;PTCMASTRGSEG1 36x145x4270 133;;True;MA;MA 37x150
1522236;PTCMASTRGSEG1 36x145x3660 133;C;MA;RGH;G1;36.0;145.0;3660.0;1522236;37;150.0;3660.0;0.9405405405405406;MA371503660;MA37150;Standard;;PTCMASTRGSEG1 36x145x3660 133;;True;MA;MA 37x150
1522237;PTCMASTRGSEG1 36x145x3050 133;C;MA;RGH;G1;36.0;145.0;3050.0;1522237;37;150.0;3050.0;0.9405405405405406;MA371503050;MA37150;Standard;;PTCMASTRGSEG1 36x145x3050 133;;True;MA;MA 37x150
1522238;PTCMASTRGSEG1 36x145x2440 133;C;MA;RGH;G1;36.0;145.0;2440.0;1522238;37;150.0;4880.0;0.9405405405405406;MA3715048808+8;MA37150;Standard;;PTCMASTRGSEG1 36x145x2440 133;;True;MA;MA 37x150
1522240;PTCMAAERGSEEX 36x145x4880 133;C;MA;RGH;EX;36.0;145.0;4880.0;1522240;37;150.0;4880.0;0.9405405405405406;MA371504880;MA37150;Excedente;;PTCMAAERGSEEX 36x145x4880 133;;True;MA;MA 37x150
1522242;PTCMAAERGSEEX 36x145x4270 133;C;MA;RGH;EX;36.0;145.0;4270.0;1522242;37;150.0;4270.0;0.9405405405405406;MA371504270;MA37150;Excedente;;PTCMAAERGSEEX 36x145x4270 133;;True;MA;MA 37x150
1522243;PTCMAAERGSEEX 36x145x3660 133;C;MA;RGH;EX;36.0;145.0;3660.0;1522243;37;150.0;3660.0;0.9405405405405406;MA371503660;MA37150;Excedente;;PTCMAAERGSEEX 36x145x3660 133;;True;MA;MA 37x150
1522244;PTCMAAERGSEEX 36x145x3050 133;C;MA;RGH;EX;36.0;145.0;3050.0;1522244;37;150.0;3050.0;0.9405405405405406;MA371503050;MA37150;Excedente;;PTCMAAERGSEEX 36x145x3050 133;;True;MA;MA 37x150
1522245;PTCMAAERGSEEX 36x145x2440 133;C;MA;RGH;EX;36.0;145.0;2440.0;1522245;37;150.0;4880.0;0.9405405405405406;MA3715048808+8;MA37150;Excedente;;PTCMAAERGSEEX 36x145x2440 133;;True;MA;MA 37x150
1522246;PTCMASTRGSEG1 17x150x4270 273;C;MA;RGH;G1;17.0;150.0;4270.0;1522246;18;155.0;4270.0;0.9139784946236559;MA181554270;MA18155;Standard;;PTCMASTRGSEG1 17x150x4270 273;0.9;True;MA;MA 18x155
1522247;PTCMASTRGSEG1 17x175x3050 234;C;MA;RGH;G1;17.0;175.0;3050.0;1522247;18;181.0;3050.0;0.9131368937998773;MA181813050;MA18181;Standard;;PTCMASTRGSEG1 17x175x3050 234;;True;MA;MA 18x181
1522248;PTCMASTRGSEG1 17x175x2440 234;C;MA;RGH;G1;17.0;175.0;2440.0;1522248;18;181.0;4880.0;0.9131368937998773;MA1818148808+8;MA18181;Standard;;PTCMASTRGSEG1 17x175x2440 234;0.9;True;MA;MA 18x181
1522249;PTCMAAERGSEEX 17x175x3660 234;C;MA;RGH;EX;17.0;175.0;3660.0;1522249;18;181.0;3660.0;0.9131368937998773;MA181813660;MA18181;Excedente;;PTCMAAERGSEEX 17x175x3660 234;;True;MA;MA 18x181
1522250;PTCMAAERGSEEX 17x175x3050 234;C;MA;RGH;EX;17.0;175.0;3050.0;1522250;18;181.0;3050.0;0.9131368937998773;MA181813050;MA18181;Excedente;;PTCMAAERGSEEX 17x175x3050 234;;True;MA;MA 18x181
1522251;PTCMAAERGSEEX 17x175x2440 234;C;MA;RGH;EX;17.0;175.0;2440.0;1522251;18;181.0;4880.0;0.9131368937998773;MA1818148808+8;MA18181;Excedente;;PTCMAAERGSEEX 17x175x2440 234;;True;MA;MA 18x181
1522253;PTCMASTRGSEG1 17x150x3660 273;C;MA;RGH;G1;17.0;150.0;3660.0;1522253;18;155.0;3660.0;0.9139784946236559;MA181553660;MA18155;Standard;;PTCMASTRGSEG1 17x150x3660 273;0.9;True;MA;MA 18x155
1522254;PTCMASTRGSEG1 17x150x3050 273;C;MA;RGH;G1;17.0;150.0;3050.0;1522254;18;155.0;3050.0;0.9139784946236559;MA181553050;MA18155;Standard;;PTCMASTRGSEG1 17x150x3050 273;0.9;True;MA;MA 18x155
1522255;PTCMASTRGSEG1 17x150x2440 273;C;MA;RGH;G1;17.0;150.0;2440.0;1522255;18;155.0;4880.0;0.9139784946236559;MA1815548808+8;MA18155;Standard;;PTCMASTRGSEG1 17x150x2440 273;0.9;True;MA;MA 18x155
