Objeto;Denomin.;Familia;Espesor;Ancho;kerf;PrecodPP;Escuadria;Status
1207044;PPCMASPRGVESD 52x52xRL;MA;52.0;52.0;;MA5252;MA 52x52;True
1207045;PPCMASPRGVESD 67x67xRL;MA;67.0;67.0;;MA6767;MA 67x67;True
1207046;PPCMASPRGSESD 52x52xRL;MA;52.0;52.0;;MA5252;MA 52x52;True
1207047;PPCMASPRGSESD 67x67xRL;MA;67.0;67.0;;MA6767;MA 67x67;True
1207071;PPCMASPRGVESD 75x129xRL;MA;75.0;129.0;;MA75129;MA 75x129;True
1207072;PPCMASPRGSESD 75x129xRL;MA;75.0;129.0;;MA75129;MA 75x129;True
1207091;PPLMASTRGVESD 40x129x4880;MA;40.0;129.0;;MA40129;MA 40x129;True
1207092;PPLMASTRGSESD 40x129x4880;MA;40.0;129.0;;MA40129;MA 40x129;True
1207093;PPLMASTRGVESD 26x155x4880;MA;26.0;155.0;;MA26155;MA 26x155;True
1207094;PPLMASTRGSESD 26x155x4880;MA;26.0;155.0;;MA26155;MA 26x155;True
1207121;PPLMASTRGVESD 26x155x2745;MA;26.0;155.0;;MA26155;MA 26x155;True
1207122;PPLMASTRGSESD 26x155x2745;MA;26.0;155.0;;MA26155;MA 26x155;True
1207123;PPLMASTRGVESD 26x155x3355;MA;26.0;155.0;;MA26155;MA 26x155;True
1207124;PPLMASTRGSESD 26x155x3355;MA;26.0;155.0;;MA26155;MA 26x155;True
1207125;PPLMASTRGVESD 26x155x3965;MA;26.0;155.0;;MA26155;MA 26x155;True
1207126;PPLMASTRGSESD 26x155x3965;MA;26.0;155.0;;MA26155;MA 26x155;True
1207127;PPLMASTRGVESD 40x129x2745;MA;40.0;129.0;;MA40129;MA 40x129;True
1207128;PPLMASTRGSESD 40x129x2745;MA;40.0;129.0;;MA40129;MA 40x129;True
1207129;PPLMASTRGVESD 40x129x3355;MA;40.0;129.0;;MA40129;MA 40x129;True
1207130;PPLMASTRGSESD 40x129x3355;MA;40.0;129.0;;MA40129;MA 40x129;True
1207131;PPLMASTRGVESD 40x129x3965;MA;40.0;129.0;;MA40129;MA 40x129;True
1207132;PPLMASTRGSESD 40x129x3965;MA;40.0;129.0;;MA40129;MA 40x129;True
1207141;PPCMASPRGVESD 98x150xRL;MA;98.0;150.0;;MA98150;MA 98x150;True
1207142;PPCMASPRGSESD 98x150xRL;MA;98.0;150.0;;MA98150;MA 98x150;True
1207151;PPCMASPRGVESD 55x155x3660;MA;55.0;155.0;;MA55155;MA 55x155;True
1207152;PPCMASPRGSESD 55x155x3660;MA;55.0;155.0;;MA55155;MA 55x155;True
1207153;PPCMASPRGVESD 55x155x3050;MA;55.0;155.0;;MA55155;MA 55x155;True
1207154;PPCMASPRGVESD 55x155x2440;MA;55.0;155.0;;MA55155;MA 55x155;True
1207155;PPCMASPRGSESD 55x155x3050;MA;55.0;155.0;;MA55155;MA 55x155;True
1207156;PPCMASPRGSESD 55x155x2440;MA;55.0;155.0;;MA55155;MA 55x155;True
1207185;PPCMASPRGVESD 55x155x4270;MA;55.0;155.0;;MA55155;MA 55x155;True
1207186;PPCMASPRGSESD 55x155x4270;MA;55.0;155.0;;MA55155;MA 55x155;True
1207211;PPCMASTRGVESD 50x98xRL;MA;50.0;98.0;;MA5098;MA 50x98;True
